ID,标题,类型,优先级,复杂度,状态,依赖,描述
CH-06,Loop 与环境,章节,P0,L,done,无,已完成2026-07-03·保留行因被CH-SYN2依赖(契约8.2例外);结论见archive
CH-08,Loop 与自己,章节,P1,L,done,无,已完成2026-07-04·保留行因被CH-SYN2与MEM-09依赖(契约8.2例外);结论见archive
CH-SYN2,综合②·Loop 之外是怎么设计的,章节,P1,L,done,CH-06+CH-08,已完成2026-07-04·保留行因被EXT-01与EXT-02依赖(契约8.2例外);结论见archive
EXT-01,切面专题·出错之后,专题,P3,M,draft,CH-SYN2,learn-cc s11错误恢复;轴二后补一次完整回合的错误恢复双机对照
CH-A1R-03,轴一手术批三·03章输出侧改写,回改,P0,L,done,无,已完成2026-07-06·四道门全过+已commit&push(2598a08);保留行因被CH-A1R-04依赖(契约8.2例外);主线换「模型吐出的异构块壳怎么逐块处置」;先复合响应解剖图(真实响应制品)+逐块处置表(thinking/text/tool_use各自命运·两家thinking处置差异);工具管线两层网降为支线保留;错误处置统一成节(与01划火墙:01讲错误不致死·03讲每类错误怎么处置)
CH-A1R-04,轴一手术批四·综合①重写,回改,P0,L,done,CH-A1R-03,已完成2026-07-07·PM smoke通过置done·轴一手术四批(01/02/03/04)全闭环;结论见archive;thesis=八成共享+两杠杆(信任观→壳厚薄·所有权→第二杠杆)+一条诚实例外(动态层注入=产品vs底座)
MEM-09,记忆的一生(条件项),专题,P3,M,draft,CH-08,learn-cc s09;08过门后按残余缺口再决定写否(会话内读写生命周期是否仍够独立成篇)·宁可少写不双写;注:CH-05R后记忆整块移入Ch05下半·本项前提已大幅消解待重估
SYN2-R,综合②关系计数+framework完备性重写,回改,P1,M,draft,CH-A2R-01+CH-A2R-02+CH-A2R-03+CH-A2R-04+CH-A2R-05,批二:五关系→四关系+所有权尾声·改综合②在场脊椎叙述与关系计数+framework补集穷尽论证+Ch08定名(收窄后偏Loop与变强/与下一代);待批一定稿后动骨架;并入轴二整改·综合②独占总变量揭示(各章不再自揭)·环境与agent降为「后果显形」非平级·采CH-A2R新读序·去八股
CH-A2R-01,轴二整改批一·时间(04)pilot,回改,P0,M,done,无,【done 2026-07-08】过四门(自审/Codex soundness/独立完整性/设计门)并入合订本;保留行因被SYN2-R依赖(契约8.2例外);结论见archive;thesis=真分野「它靠什么知道你不在」测量(CC传感器·多门控) vs 注定(Hermes CLI/网关/cron三态);四诉求(干得完/找得到我Hero双面板/送得到我/别乱来)+verdict注意力路由器 vs 无人值守规约+反思缝隙 vs 委托;门修正五caveat=SDK注入语不在仓库口径三分/CC在场机制多门控/cron反向纠偏(GA非门控)/recap按需拉取核不实/自动放行删过强日志
CH-A2R-02,轴二整改·环境(06),回改,P1,M,rendering,CH-A2R-05,重定义脊为「风险归谁+对能力边界多诚实」非「安全机制」(两家机制惊人趋同·差异是衍生在场信号);【2026-07-10 PM定本章仪器】损失类型5行(资产毁损/机密外泄/失控二阶/机器失能/外部世界后果)×防线阶段3列(事前拦/事中隔/事后兜)矩阵替代六拍(六拍预设手段分道·环境章要害恰是手段趋同;05样板只继承纪律=去八股/防默认→绝对/三层收尾);行为分类降级为事前列内部逻辑;脊=事后列读数;补采清单docs/scratch/ch-a2r-02/research-questions.md待PM过目;读序第4位=后果显形非平级;依赖=样板05(非01·01并行不阻塞)
